,Unnamed: 0,Word,Word Frequency,Rpt,Letter Freq,Scores,Unnamed: 6,Unnamed: 7
377,377,boxer,-0.69,0,421.5154033728001,14.21815003,,
378,378,boxes,-0.64,0,313.6984814304,15.39938434,,
379,379,boy's,-0.67,0,338.10051888,14.84338832,,
380,380,brace,-0.57,0,7056.409110319801,9.493517004,,
381,381,braid,-0.39,0,3157.73871336,14.6039142,,
382,382,brain,-0.74,0,4615.871001588001,8.283263815,,
383,383,brake,-0.45,0,3109.604014717201,13.74488393,,
384,384,brand,-0.72,0,2705.855414724,10.05791438,,
385,385,brash,-0.01,0,3124.4799744774,20.33217383,,
386,386,brass,-0.54,1,5368.1718255858,15.82480467,,
387,387,brave,-0.83,0,2255.3171974872,8.862433603,,
388,388,bravo,-0.33,0,1380.2456700648,17.47839778,,
389,389,brawl,-0.64,0,1683.2412681084,12.39574375,,
390,390,brawn,0.11,0,1344.9693090834,24.13308802,,
391,391,bread,-0.77,0,5809.150357164001,7.127260052,,
392,392,break,-0.66,0,3109.604014717201,10.59488393,,
393,393,breed,-0.57,1,7318.020579804,14.3710213,,
394,394,brett,-0.15,1,8031.728298349799,20.35214587,,
395,395,brian,-0.35,0,4615.871001588,14.13326382,,
396,396,briar,-0.01,1,7225.649173512001,22.8139073,,
397,397,bribe,-0.22,1,2843.050390092,22.43042813,,
398,398,brick,-0.72,0,824.205111912,12.64624978,,
399,399,bride,-0.57,0,3977.93058696,11.26633707,,
400,400,brief,-0.73,0,2328.259372956,10.28465971,,
401,401,brine,-0.19,0,5814.798534467999,15.82417862,,
402,402,bring,-0.47,0,1471.41106308,15.24157724,,
403,403,brink,-0.47,0,991.8400499279999,16.0475438,,
404,404,brisk,-0.39,0,1155.483679896,16.94599727,,
405,405,broad,-0.67,0,3555.178241076,10.0817263,,
406,406,broil,-0.27,0,4453.663803912,15.43907637,,
407,407,broke,-0.7,0,2397.3688566828,10.6625746,,
408,408,bronc,0.68,0,2533.9934750382,31.22435768,,
409,409,bronx,-0.41,0,196.3384774848,19.46427378,,
410,410,brood,-0.05,1,2740.887120924,25.07492713,,
411,411,brook,-0.12,1,1467.1807529652,25.49778896,,
412,412,broom,-0.4,1,2200.7711294478,20.37178484,,
413,413,broth,-0.27,0,2625.1753157514,16.88507266,,
414,414,brown,-0.41,0,1036.9125842166,16.86111651,,
415,415,brows,-0.26,0,1207.9927288962,18.80579425,,
416,416,bruce,-0.56,0,3365.748855453599,11.88186612,,
417,417,bruin,-0.13,0,2201.666924015999,19.42080162,,
418,418,brunt,-0.41,0,2395.2617742312,15.01475015,,
419,419,brush,-0.54,0,1490.3068591368,14.16398691,,
420,420,brute,-0.43,0,5142.3426823032,12.60728511,,
421,421,bucks,-0.57,0,427.2554803608,15.99753935,,
422,422,buddy,-0.53,1,417.6315417600001,21.63221057,,
423,423,budge,-0.58,0,961.6006303200002,14.45712626,,
424,424,buffs,-0.25,1,225.0983726388,26.69315497,,
425,425,buggy,-0.39,1,263.3679878400001,24.38834818,,
426,426,bugle,0.08,0,1759.163506056,23.09625554,,
427,427,buick,-0.36,0,427.9934000160001,19.14490422,,
428,428,build,-0.65,0,1204.16204448,12.96227827,,
429,429,built,-0.46,0,2234.783088432,14.43465406,,
430,430,bulbs,-0.62,1,859.1378659848002,19.06963249,,
431,431,bulge,-0.35,0,1759.163506056,16.64625554,,
432,432,bulgy,0.05,0,606.7218090240002,24.73497981,,
433,433,bulks,-0.18,0,643.4695127952001,21.18512149,,
434,434,bulky,-0.34,0,408.9754416384001,19.51388993,,
435,435,bulls,-0.69,1,2199.1100931792,16.02360874,,
436,436,bully,-0.54,1,1397.7072785664,19.30169813,,
437,437,bumps,-0.59,0,491.9127867108001,15.47809862,,
438,438,bumpy,-0.12,0,312.6492323136001,23.20407324,,
439,439,bunch,-0.59,0,679.0847534604001,14.94218574,,
440,440,bunks,-0.22,0,514.1549000952001,20.95742978,,
441,441,bunny,-0.46,1,892.3767257664001,21.39878571,,
442,442,buoys,0.56,0,1365.9260962752,30.85047519,,
443,443,burly,-0.14,0,1748.2576571136,19.8103539,,
444,444,burma,0.12,0,1766.0918771496,23.68733165,,
445,445,burns,-0.59,0,2197.8709465608,12.52497003,,
446,446,burnt,-0.35,0,2395.2617742312,15.91475015,,
447,447,burro,0.03,1,3880.252737374401,25.33698145,,
448,448,burrs,0.35,1,3440.530375099201,30.47188567,,
449,449,burst,-0.42,0,2790.4558697784,14.47876597,,
450,450,buses,-0.21,1,3511.6335175284,22.01571994,,
451,451,bushy,-0.44,0,704.9266377408002,17.12692763,,
452,452,busts,-0.72,1,2076.7017334212,15.7108393,,
453,453,butch,-0.29,0,862.1780270292,19.01307139,,
454,454,butte,0.21,1,4170.7175225364,27.8304914,,
455,455,butts,-0.51,1,2263.2103519668,18.65393098,,
456,456,buxom,0.06,0,56.00327765760002,27.81326203,,
457,457,buyer,-0.15,0,2999.020771929601,18.34076636,,
458,458,bylaw,0.19,0,796.1861011104002,26.35941135,,
459,459,byron,-0.07,0,2257.8924910752,20.25965711,,
460,460,byway,0.04,1,471.0554424576001,29.99648979,,
461,461,cabby,-0.15,1,760.1404223952003,26.34306568,,
462,462,cabin,-0.52,0,2450.327408298,13.30834194,,
